Product Page URL,Section 19A approved medicine,Section 19A approval holder,Phone,Approved until,Status,Medicines in short supply/unavailable,Indication(s)
https://www.tga.gov.au/resources/section-19a-approvals/anastrozole-tablets-usp-1mg-accord-usa,"Anastrozole tablets, USP 1mg (Accord, USA)",Reach Pharmaceuticals Pty Ltd ABN 25 623 897 183,0422 429 648,31 July 2025,Current,APO-ANASTROZOLE anastrozole 1 mg film-coated tablet blister pack - ARTG 266676 ARIANNA 1 anastrozole 1 mg film-coated tablet blister pack - ARTG 259991,Early breast cancer: Adjuvant treatment of early breast cancer in postmenopausal women with estrogen/progesterone-receptor-positive-disease. Advanced breast cancer: First line treatment of advanced breast cancer in postmenopausal women with estrogen/progesterone-receptor-positive disease. Treatment of advanced breast cancer in postmenopausal women with disease progression following tamoxifen therapy. Patients with estrogen-receptor-negative disease and patients who have not responded to previous tamoxifen therapy rarely respond to anastrozole.
https://www.tga.gov.au/resources/section-19a-approvals/sodium-chloride-09-isotonic-saline-solution-infusion-freeflex-bag-500ml-fresenius-kabi-germany,"Sodium Chloride 0.9% Isotonic Saline Solution for Infusion in FREEFLEX bag 500mL (Fresenius Kabi, Germany)",Fresenius Kabi Australia Pty Ltd ABN 39 109 383 593,02 9391 5555,28 February 2026,Current,N/A (Field Not Found/Timeout),Normal saline can be used as the vehicle for many parenteral drugs and as an electrolyte replenisher for maintenance or replacement of deficits of extracellular fluid. It can also be used as a sterile irrigation medium.
https://www.tga.gov.au/resources/section-19a-approvals/fluorouracil-injection-usp-5g100ml-50mgml-vial-xiromed-usa,"Fluorouracil Injection, USP 5g/100mL (50mg/mL) vial (Xiromed, USA)",ORSPEC Pharma Pty Ltd ABN 15 634 980 417,02 4339 4239,31 July 2025,Current,FLUOROURACIL ACCORD fluorouracil 5000 mg/100 mL injection vial - ARTG 285802 FLUOROURACIL EBEWE fluorouracil 5000 mg/100 mL solution for injection vial - ARTG 166741,"Fluorouracil is indicated alone or in combination for the palliative treatment of malignant tumours, particularly of the breast, colon or rectum; and in the treatment of gastric and pancreatic carcinomas. Fluorouracil should only be used when other proven measures have failed or are considered impractical."
https://www.tga.gov.au/resources/section-19a-approvals/fluorouracil-injection-usp-25g50ml-50mgml-vial-alembic-usa,"Fluorouracil Injection, USP 2.5g/50mL (50mg/mL) vial (Alembic, USA)",Medsurge Healthcare Pty Ltd ABN 92 124 728 892,1300 788 261,31 July 2025,Current,FLUOROURACIL ACCORD fluorouracil 2500 mg/50 mL injection vial - ARTG 285803 DBL FLUOROURACIL INJECTION BP fluorouracil 2.5g/50mL injection vial - ARTG 75832,"Fluorouracil is indicated alone or in combination for the palliative treatment of malignant tumours, particularly of the breast, colon or rectum; and in the treatment of gastric and pancreatic carcinomas. Fluorouracil should only be used when other proven measures have failed or are considered impractical."
https://www.tga.gov.au/resources/section-19a-approvals/sodium-chloride-09-solution-infusion-freeflex-bag-100ml-fresenius-kabi-netherlands,"Sodium chloride 0.9% solution for infusion in FREEFLEX bag 100mL (Fresenius Kabi, Netherlands)",Pro Pharmaceuticals Group ABN 20 605 457 430,1300 077 674,28 February 2026,Current,N/A (Field Not Found/Timeout),"Indicated for extracellular fluid replacement and in the management of metabolic alkalosis in the presence of fluid loss, and for restoring or maintaining the concentration of sodium and chloride ions."
https://www.tga.gov.au/resources/section-19a-approvals/amiodarone-hydrochloride-injection-usp-150mg3ml-50mgml-solution-injection-single-dose-vials-slate-run-usa,"Amiodarone hydrochloride injection, USP 150mg/3mL (50mg/mL) solution for injection single-dose vials (Slate Run, USA)",ORSPEC Pharma Pty Ltd ABN 15 634 980 417,02 4339 4239,31 July 2025,Current,AMIODARONE JUNO amiodarone hydrochloride 150mg/3mL solution for injection ampoule - ARTG 233673,"Severe cases of tachyarrhythmias (eg. Wolff-Parkinson-White Syndrome, supraventricular, nodal and ventricular tachycardias, atrial flutter and fibrillation, ventricular fibrillation) not responding to other therapy. Treatment should be initiated in hospital. It is recommended that the patient should be regularly monitored for possible toxicity (eg. thyroid function, chest X-ray, ophthalmological examination, liver function etc.) during the entire course of therapy and for several months after discontinuation. Amiodarone HHH injection may be used for treatment initiated in a hospital for severe cases of tachyarrhythmias (atrial, junctional and ventricular) not responding to other therapy and when a rapid response is required. Amiodarone HHH injection should only be used where facilities exist for cardiac monitoring and defibrillation should the need arise."
https://www.tga.gov.au/resources/section-19a-approvals/tambocor-flecainide-10mgml-injection-solution-ampoule-germany,TAMBOCOR flecainide 10mg/mL injection solution ampoule (Germany),Medsurge Healthcare Pty Ltd ABN 92 124 728 892,1300 788 261,31 July 2025,Current,TAMBOCOR flecainide acetate 150mg/15mL injection ampoule - ARTG 10592,"Supraventricular arrhythmias: due to pre-excitation syndromes, e.g. Wolff-Parkinson-White and Lown-Ganong-Levine syndromes due to dual AV nodal pathways in patients with debilitating symptoms paroxysmal atrial fibrillation/flutter (PAF) associated with disabling symptoms. Although TAMBOCOR may be effective in supraventricular arrhythmias in patients with structural heart disease, its use has been associated with life-threatening and occasionally fatal ventricular arrhythmias. In these patients, particularly in the presence of impaired left ventricular function, TAMBOCOR should be used with extreme caution, preferably after other antiarrhythmic drugs have been tried or considered inappropriate. Use of TAMBOCOR in chronic atrial fibrillation has not been adequately studied and is not recommended. Life threatening ventricular arrhythmias not controlled by other drugs. Intravenous TAMBOCOR is indicated when rapid control or short-term prophylaxis of the above arrhythmias is the main clinical requirement. All use of the injection should be in hospitals only."
https://www.tga.gov.au/resources/section-19a-approvals/midazolam-5mgml-5mg1ml-solution-injection-aguettant-france,"Midazolam 5mg/mL (5mg/1mL) solution for injection (Aguettant, France)",Aborns Pharmacuticals Pty Ltd ABN 80 625 808 193,1300 117 772,30 June 2025,Current,HYPNOVEL midazolam 5mg/1mL (as hydrochloride) injection ampoule - ARTG 13726 MIDAZOLAM VIATRIS 5mg/1mL midazolam solution for injection ampoule - ARTG 160207 Pfizer (Australia) MIDAZOLAM INJECTION midazolam 5mg/1mL injection ampoule - ARTG 72213,"Intravenously as an agent for conscious sedation prior to short surgical, diagnostic, therapeutic or endoscopic procedures, such as bronchoscopy, gastroscopy, cystoscopy, coronary angiography and cardiac cathetherization, either alone or in conjunction with a narcotic; Intravenously for induction of anaesthesia, preliminary to administration of other anaesthetic agents. With the use of a narcotic premedicant, induction of anaesthesia can be attained with narrower dose range and in a shorter period of time; Sedation in intensive care units by intravenous intermittent administration or continuous infusion; Intramuscularly for preoperative sedation (induction of sleepiness or drowsiness and relief of apprehension) and to impair memory of perioperative events."
https://www.tga.gov.au/resources/section-19a-approvals/pediapharm-naproxen-oral-suspension-usp-125mg5ml-25mgml-medexus-pharma-canada,"Pediapharm Naproxen Oral Suspension, USP 125mg/5mL (25mg/mL) (Medexus Pharma, Canada)",Phero Pharma Pty Ltd ABN 96 673 730 231,0438 511 466,31 October 2025,Current,PHEBRA NAPROXEN SUSPENSION naproxen 125mg/5mL oral liquid bottle - ARTG 196596,"Treatment of rheumatoid arthritis, osteoarthritis, ankylosing spondylitis, for the symptomatic treatment of primary dysmenorrhoea, for the relief of acute and/or chronic pain states in which there is an inflammatory component and as an analgesic in acute migraine attack."
https://www.tga.gov.au/resources/section-19a-approvals/biltricide-praziquantel-600mg-film-coated-tablets-germany,BILTRICIDE praziquantel 600mg film-coated tablets (Germany),Link Medical Products Pty Ltd ABN 73 010 971 516,1800 181 060,31 March 2026,Current,BILTRICIDE Praziquantel 600mg Tablet bottle - ARTG 18845,"Treatment of schistosoma infections due to various types of blood fluke (eg Schistosoma haematobium, S.japonicum, S.mekongi, S.mansoni)."
https://www.tga.gov.au/resources/section-19a-approvals/oncaspar-pegaspargase-3750-u5ml-750-uml-powder-solution-injectioninfusion-ireland,ONCASPAR pegaspargase 3750 U/5mL (750 U/mL) powder for solution for injection/infusion (Ireland),Servier Laboratories (Aust.) Pty. Ltd ABN 54 004 838 500,1800 153 590,31 July 2025,Current,ONCASPAR pegaspargase 3750 units/5mL powder for solution injection/infusion vial - ARTG 303807,ONCASPAR is indicated as a component of antineoplastic combination therapy in patients with Acute Lymphoblastic Leukaemia (ALL)
https://www.tga.gov.au/resources/section-19a-approvals/amiodarone-150-mg3-ml-50-mgml-concentrate-solution-injection-or-infusion-ampoules-bowmed-ibisqus-uk,"Amiodarone 150 mg/3 mL (50 mg/mL) concentrate for solution for injection or infusion ampoules (Bowmed Ibisqus, UK)",Link Medical Products Pty Ltd ABN 73 010 971 516,1800 181 060,31 July 2025,Current,AMIODARONE JUNO amiodarone hydrochloride 150mg/3mL solution for injection ampoule - ARTG 233673,"Severe cases of tachyarrhythmias (eg. Wolff-Parkinson-White Syndrome, supraventricular, nodal and ventricular tachycardias, atrial flutter and fibrillation, ventricular fibrillation) not responding to other therapy. Treatment should be initiated in hospital. It is recommended that the patient should be regularly monitored for possible toxicity (eg. thyroid function, chest X-ray, ophthalmological examination, liver function etc.) during the entire course of therapy and for several months after discontinuation. Amiodarone may be used for treatment initiated in a hospital for severe cases of tachyarrhythmias (atrial, junctional and ventricular) not responding to other therapy and when a rapid response is required. Amiodarone should only be used where facilities exist for cardiac monitoring and defibrillation should the need arise."
https://www.tga.gov.au/resources/section-19a-approvals/azithromycin-tablets-usp-500-mg-precision-dose-usa,"Azithromycin Tablets, USP 500 mg (Precision Dose, USA)",Reach Pharmaceuticals Pty Ltd ABN 25 623 897 183,0422 429 648,31 July 2025,Current,APO-AZITHROMYCIN azithromycin (as dihydrate) 500 mg tablet blister pack - ARTG 195910 AZITHROMYCIN SANDOZ azithromycin (as dihydrate) 500mg tablet blister pack - ARTG 158292 AZITHROMYCIN VIATRIS azithromycin (as dihydrate) 500 mg tablet blister pack – ARTG 387051 ZITHRO azithromycin (as dihydrate) 500 mg tablet blister pack - ARTG 241812,"Azithromycin is indicated for use in adults for the treatment of the following infections of mild to moderate severity: Lower respiratory tract infections: Acute bacterial bronchitis due to Streptococcus pneumoniae, Haemophilus influenzae or Moraxella catarrhalis. Community acquired pneumonia (CAP) due to Streptococcus pneumoniae or Haemophilus influenzae in patients suitable for outpatient oral treatment. Community acquired pneumonia caused by susceptible organisms in patients who require initial intravenous therapy. In clinical studies efficacy has been demonstrated against Chlamydia pneumoniae, Haemophilus influenzae, Legionella pneumophilia, Moraxella catarrhalis, Mycoplasma pneumoniae, Staphylococcus aureus and Streptococcus pneumoniae. Upper respiratory tract infections: Acute sinusitis due to Streptococcus pneumoniae or Haemophilus influenzae. Acute streptococcal pharyngitis. Note: Penicillin is the usual drug of choice in the treatment of Streptococcus pyogenes pharyngitis, including the prophylaxis of rheumatic fever. Azithromycin appears to be almost as effective in the treatment of Streptococcal pharyngitis. However, substantial data establishing the efficacy of azithromycin in the subsequent prevention of rheumatic fever are not available at present. Uncomplicated skin and skin structure infections: Uncomplicated infections due to Staphylococcus aureus, Streptococcus pyogenes or Streptococcus agalactiae. Abscesses usually require surgical drainage. Sexually transmitted diseases: Uncomplicated urethritis and cervicitis due to Chlamydia trachomatis. Note: At the recommended dose azithromycin cannot be relied upon to treat gonorrhoea or syphilis. As with other drugs for the treatment of non-gonococcal infections, it may mask or delay the symptoms of incubating gonorrhoea or syphilis. Appropriate tests should be performed for the detection of gonorrhoea or syphilis and treatment should be instituted as required."
